train_loss,val_acc,val_f1,val_acc_h,val_acc_f,val_fairness
0.1108491969680278,0.7924444444444444,0.8131549766832152,0.784767316017316,0.7977941176470589,0.7652271135727016
0.10174862357918471,0.8085,0.8270685874523741,0.8829816017316018,0.7565987933634992,0.5670245808113454
0.08887128411175196,0.9148333333333334,0.9195251204749875,0.9573863636363636,0.8851809954751131,0.7768729432332373
0.08928869583943386,0.9010555555555556,0.9074492131832943,0.9527867965367965,0.8650075414781297,0.7333386588901296
0.08760937518683357,0.8867777777777778,0.8949779175143655,0.9353354978354979,0.8529411764705882,0.7293496944232237
0.08652520837133244,0.9132777777777777,0.9182298306970257,0.9598214285714286,0.8808446455505279,0.7623794710191768
0.08595970883753754,0.8786666666666667,0.8878572355213368,0.9408820346320347,0.8353129713423831,0.6769593764079058
0.08270711127873742,0.8831111111111111,0.89174404085535,0.9307359307359307,0.8499245852187028,0.728707566942861
0.08065117797342859,0.9076666666666666,0.9132495862398082,0.9503517316017316,0.8779223227752639,0.7692782095355625
0.07562317941370908,0.9206666666666666,0.9246856273848725,0.9642857142857143,0.8902714932126696,0.7792501616031027
0.0741742971794908,0.9248333333333333,0.9284216095107569,0.9661796536796536,0.8960218702865762,0.79078519519696
0.07468287656530341,0.9267777777777778,0.9301516404809972,0.9625270562770563,0.9018665158371041,0.8108757051771758
0.07540782283640882,0.9202777777777778,0.9244364200858529,0.958198051948052,0.8938536953242836,0.797337160388631
0.06929744853179895,0.9307222222222222,0.9336902474213175,0.9695616883116883,0.903657616892911,0.8048015097647451
0.0688388274352316,0.9235555555555556,0.927318806457262,0.9659090909090909,0.8940422322775264,0.7862419443301797
0.06536824477184729,0.9292222222222222,0.9322308870566314,0.9706439393939394,0.9003582202111614,0.7949296414369944
0.0674626101271562,0.9371111111111111,0.9392566752827728,0.9751082251082251,0.9106334841628959,0.8139213727449021
0.06568643583818529,0.9405555555555556,0.9423574288590998,0.9753787878787878,0.916289592760181,0.8276558000822707
0.06341388130719322,0.9386111111111111,0.9406126085394739,0.9745670995670995,0.9135558069381599,0.8220388679947503
0.0653169735237215,0.9392777777777778,0.941222411559153,0.9745670995670995,0.9146870286576169,0.8248669222933929
